OBJECTID,gridcode,DNR12DIG,Shape_Leng,Shape_Area,Acres,Land_Use,pollution,total_N,total_P,total_S
23,2,21402050824,694573.920083,3744948.83612,925.397010725,2,830071.8646502177,14158.5742640925,1563.9209481252499,814349.369438
24,2,21402050825,581732.522015,2013353.73841,497.510543557,2,446261.98246519343,7611.911316422101,840.79281861133,437809.27833016
25,2,21402050826,234206.827096,629094.072403,155.45253074,2,139439.3655484726,2378.423720322,262.71477695059997,136798.2270512
26,3,21402050808,310119.963162,363840.116632,89.9068508135,3,80645.54611120137,1375.57481744655,151.942577874815,79118.02871588
27,3,21402050811,365640.735808,442706.86877,109.395249685,3,98126.44501494814,1673.7473201805,184.87797196764998,96267.81972279999
28,3,21402050814,209024.090143,248540.812535,61.4157722916,3,55089.33358784229,939.6613160614801,103.79265517280399,54045.879616608
29,3,21402050815,516244.901443,541413.310458,133.786142612,3,120004.83206153788,2046.9279819636,226.09858101427997,117731.80549855999
30,3,21402050816,997502.175417,1081053.90809,267.13423834499997,3,239616.74045308153,4087.1538466784996,451.45686280304994,235078.12974359997
31,3,21402050818,1296842.99227,1478994.08058,365.46739647,3,327820.5999596253,5591.651165991,617.6399000342999,321611.3088936
32,3,21402050821,195801.5614,201923.948412,49.8964942997,3,44756.65642188791,763.4163627854101,84.325075366493,43908.914983736
33,3,21402050822,3250087.29026,3996914.66744,987.659123589,3,885920.3572680971,15111.184590911702,1669.1439188654101,869140.02875832
34,3,21402050823,372887.98056,444670.022433,109.88035552,3,98561.5800978848,1681.169439456,185.69780082879998,96694.7128576
35,3,21402050824,472080.148106,525281.518175,129.799889926,3,116429.20326472273,1985.9383158678,219.36181397494,114223.90313487999
36,3,21402050825,421591.054777,472599.931835,116.781986437,3,104752.27401412463,1786.7643924861002,197.36155707852998,102768.14806456
37,3,21402050826,232795.356515,265970.890893,65.7228384532,3,58952.72886413587,1005.55942833396,111.07159698590799,57836.097838816
38,4,21402050808,12286.1221035,272159.002979,67.2519542509,4,10170.513041363607,726.32110590972,28.918340327886998,9415.273595126
39,4,21402050811,236.563558511,1491.20923804,0.368485827613,4,55.726111709913994,3.9796469382204007,0.15844890587359,51.588015865820005
40,4,21402050814,363.030695058,3308.58704157,0.817569663025,4,123.64106013927075,8.829752360670001,0.35155495510075,114.4597528235
41,4,21402050815,1140.09883222,10814.4654689,2.67231261506,4,404.1338367755238,28.860976242648004,1.1490944244758,374.1237661084
42,4,21402050816,3515.69773131,30847.3882755,7.62255564709,4,1152.7590905094207,82.32360098857201,3.2776989282487,1067.1577905926001
43,4,21402050818,17942.6349578,114332.361379,28.2521417727,4,4272.571400285421,305.12313114516,12.148420962261,3955.299848178
44,4,21402050821,3312.01041371,8318.7532356,2.05560869161,4,310.86970243218025,22.200573869388,0.8839117373922999,287.78521682539997
45,4,21402050822,34653.2367309,470775.001984,116.33103645,4,17592.7426423335,1256.3751936600001,50.0223456735,16286.345103
46,4,21402050823,15937.0877933,246928.900551,61.0174601659,4,9227.670500889057,658.98856979172,26.237507871336998,8542.444423226
47,4,21402050824,26948.9004909,383622.29866,94.7951344498,4,14335.868182843253,1023.7874520578401,40.761907813414,13271.318822972
48,4,21402050825,10443.4087794,116356.694341,28.7523653414,4,4348.2202105799215,310.52554568712003,12.363517096802001,4025.331147796
49,4,21402050826,148.145303982,708.457471949,0.175063653859,4,26.474876373096567,1.8906874616772,0.07527737115937,24.508911540259998
50,5,21402050808,11990.2799334,297248.106268,73.4516066897,5,11108.08647968333,793.27735224876,31.584190876571,10283.224936558
51,5,21402050814,3176.59574217,110580.058417,27.3249275177,5,4132.348788501771,295.10921719116004,11.749718832611,3825.489852478
52,5,21402050818,555.000567695,7838.19665951,1.93686057556,5,292.91142484193875,20.918094216048,0.8328500474907999,271.1604805784
53,5,21402050822,12581.8214094,314246.619659,77.6520308256,5,11743.316621755486,838.64193291648,33.390373255007994,10871.284315583998
54,6,21402050808,1682.58792872,24705.613568,6.10489006509,6,923.2425245435606,65.932812702972,2.6251027279887,854.6846091126
55,6,21402050814,3222.86381217,94155.9394368,23.2664393319,6,3518.5836201632364,251.27754478452002,10.004568912717,3257.301506466
56,6,21402050815,2444.49731586,35016.9532409,8.65287758842,6,1308.5746776967567,93.45107795493601,3.7207373630206004,1211.4028623788001
57,6,21402050816,7323.8858201,167254.227828,41.3294197694,6,6250.248151726361,446.35773350952,17.771650500842,5786.118767716
58,6,21402050818,15567.0851167,456256.979591,112.743554989,6,17050.20782098647,1217.6303938812,48.47972864527,15784.09769846
59,6,21402050821,1129.51292119,24270.5511503,5.99738380042,6,906.9843521375165,64.771745044536,2.5788750341805997,839.6337320588
60,6,21402050822,53080.006453,1819965.38086,449.723239695,6,68011.64553907485,4857.010988706001,193.38099306885002,62961.253557300006
61,6,21402050823,58583.537956,2425870.21702,599.445585366,6,90654.15587490019,6474.012321952801,257.76160170738,83922.38195124001
62,6,21402050824,30249.2537627,1282401.37822,316.888281758,6,47923.014850262334,3422.3934429864003,136.26196115594,44364.35944612
63,6,21402050825,17189.7772345,575771.565629,142.276252363,6,21516.437644856487,1536.5835255204001,61.178788516089995,19918.67533082
64,6,21402050826,3407.42033327,89431.7305642,22.0990618963,6,3342.0411305774487,238.66986848004,9.502596615409,3093.868665482
65,7,21402050808,2954.63565105,58518.6335613,14.4602692691,7,2186.8265215659926,156.17090810628,6.217915785713,2024.437697674
66,7,21402050811,274.874427709,3978.17675842,0.983028885434,7,148.66345834418382,10.616711962687202,0.42270242073662,137.62404396076
67,7,21402050814,665.808108374,13330.4980485,3.29403780543,7,498.15733731517884,35.575608298644,1.4164362563349,461.1652927602
68,7,21402050815,744.306379603,7423.85740453,1.8344751159,7,277.42767177755695,19.81233125172,0.788824299837,256.82651622599997
69,7,21402050816,3478.67662168,20887.1498655,5.16132713527,7,780.547502666882,55.742333060916,2.2193706681661,722.5857989378
70,7,21402050818,1599.077795,29085.0549479,7.1870735979100004,7,1086.9011402119293,77.62039485742801,3.0904416471013003,1006.1903037074001
71,7,21402050821,531.853436523,8348.76656493,2.06302514681,7,311.99129295207626,22.280671585548,0.8871008131282999,288.8235205534
72,7,21402050822,15390.9203701,107475.686695,26.5578205592,7,4016.339203167816,286.82446203936,11.419862840456,3718.094878288
73,7,21402050823,5881.44630241,84950.8891456,20.9918218683,7,3174.593221143009,226.71167617764002,9.026483403369,2938.855061562
74,7,21402050824,18083.8298101,295650.619134,73.056859022,7,11048.388789897059,789.0140774376,31.41444937946,10227.96026308
75,7,21402050825,1187.65025577,21563.6869456,5.32850308853,7,805.8295220783918,57.547833356124,2.2912563280678997,745.9904323942
76,8,21402050808,64195.9639872,1014449.09028,250.675829433,8,37909.705685152585,2707.2989578764,107.79060665619,35094.61612062
77,8,21402050811,58381.1669219,1327160.59719,327.948525638,8,49595.655532234734,3541.8440768904,141.01786602433998,45912.79358932
78,8,21402050814,38158.8376758,573053.295166,141.604553103,8,21414.856565766688,1529.3291735124,60.88995783429,19824.63743442
79,8,21402050815,128277.410597,2998671.77036,740.987931709,8,112059.60491235206,8002.6696624572005,318.62481063487,103738.31043926
80,8,21402050816,188627.620831,3110545.27005,768.632475527,8,116240.2892739482,8301.2307356916,330.51196447661,107608.54657378
81,8,21402050818,147080.622985,2443460.59229,603.792261758,8,91311.50374566234,6520.9564269864,259.63067255594,84530.91664612
82,8,21402050821,24000.3125105,325351.833273,80.396188872,8,12158.315643112559,868.2788398176,34.570361214959995,11255.46644208
83,8,21402050822,456606.158149,10994551.3446,2716.81280408,8,410863.6003610184,29341.578284064006,1168.2295057544002,380353.79257120006
84,8,21402050823,459756.330303,19180536.5318,4739.61379643,8,716771.7944341088,51187.829001444,2038.0339324648999,663545.9315002
85,8,21402050824,252931.976711,5340980.08078,1319.78492027,8,199591.07349243207,14253.677138916,567.5075157161,184769.88883779998
86,8,21402050825,151526.533928,2675858.27954,661.218980919,8,99996.14648438037,7141.164993925201,284.32416179517,92570.65732866
87,8,21402050826,117107.579111,2809381.76827,694.213353535,8,104985.88545509805,7497.504218178001,298.51174202005,97189.8694949
88,9,21402050808,335252.678224,1005962.70986,248.578799161,9,37592.57179711803,2684.6510309388004,106.88888363923,34801.03188254
89,9,21402050811,457138.892477,1549319.34877,382.845148693,9,57897.67183684238,4134.7276058844,164.62341393799,53598.32081702
90,9,21402050814,263140.62013,949726.775669,234.682597191,9,35491.04917319493,2534.5720496628005,100.91351679213001,32855.563606740005
91,9,21402050815,675334.946063,2179345.17636,538.527921152,9,81441.57751581696,5816.1015484416,231.56700609536,75393.90896128
92,9,21402050816,1202839.03556,4155612.43219,1026.87419529,9,155294.1845537067,11090.241309132001,441.5559039747,143762.3873406
93,9,21402050818,1563997.73839,4734976.53915,1170.03818394,9,176944.8745572462,12636.412386552,503.11641909419995,163805.3457516
94,9,21402050821,259915.268137,778403.057812,192.347584536,9,29088.725209379278,2077.3539129888,82.70946135048,26928.66183504
95,9,21402050822,3700301.2793,12490549.0451,3086.48188653,9,466768.65569993184,33334.004374524004,1327.1872112079,432107.4641142
